BusinessHotelCustomer,0.95,0.9,0.8,0.7,0.6,0.6,0.55,0.55,0.6,0.6,0.65,0.7,0.75,0.75,0.8,0.85,0.95,1,1
BusinessHotelEmployee,0.1,0.3,1,1,1,1,1,1,1,1,0.7,0.7,0.4,0.2,0.2,0.2,0.2,0.1,0.05
LeisureHotelCustomer,0.95,0.95,0.9,0.8,0.7,0.7,0.65,0.65,0.7,0.7,0.75,0.8,0.85,0.85,0.9,0.95,0.95,1,1
LeisureHotelEmployee,0.1,0.3,1,1,1,1,1,1,1,1,0.7,0.7,0.4,0.2,0.2,0.2,0.2,0.1,0.05
ConventionHotelCustomer,0,0,0.5,1,1,1,1,1,1,1,1,1,0.5,0.3,0.3,0.1,0,0,0
ConventionHotelEmployee,0.1,0.1,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,0.1,0.1
BanquetHotelCustomer,0,0,0.3,0.6,0.6,0.6,0.65,0.65,0.65,0.65,0.65,1,1,1,1,1,0.5,0,0
BanquetHotelEmployee,0.1,0.1,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,0.1,0.1
LoungeHotelCustomer,0,0.1,0.3,0.1,0.1,0.05,1,1,0.33,0.1,0.1,0.3,0.55,0.6,0.7,0.67,0.6,0.4,0.3
LoungeHotelEmployee,0.1,0.1,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,0.1,0.1
SupermarketCustomer,0.1,0.25,0.5,0.75,0.95,1,1,1,1,1,1,0.9,0.5,0.33,0.25,0.15,0.05,0.04,0.03
SupermarketEmployee,0.15,0.35,0.7,0.85,1,1,1,1,0.85,0.75,0.6,0.55,0.45,0.4,0.3,0.2,0.1,0.1,0.05
CoffeeCustomer,0.05,0.1,0.2,0.3,0.55,0.85,1,1,0.9,0.6,0.55,0.6,0.85,0.8,0.5,0.3,0.2,0.1,0.05
CoffeeEmployee,0.5,0.75,0.9,0.9,1,1,1,1,1,0.75,0.75,0.95,0.95,0.95,0.95,0.8,0.65,0.65,0.35
